SrcAddr,DstAddr,TimeWindow,Packets,Timestamp
10.45.0.2,157.90.35.62,3,142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming,2022-10-04 18:53; 2022-10-04 18:54; 2022-10-04 18:55; 2022-10-04 18:56
10.45.0.2,157.90.35.62,3,142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming,2022-10-04 18:56; 2022-10-04 18:57; 2022-10-04 18:58; 2022-10-04 18:59
10.45.0.2,157.90.35.62,3,142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming,2022-10-04 18:59; 2022-10-04 19:00; 2022-10-04 19:01; 2022-10-04 19:02
10.45.0.2,157.90.35.62,3,142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming,2022-10-04 19:02; 2022-10-04 19:03; 2022-10-04 19:04; 2022-10-04 19:05
10.45.0.2,157.90.35.62,3,142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming,2022-10-04 19:05; 2022-10-04 19:06; 2022-10-04 19:07; 2022-10-04 19:08
10.45.0.2,157.90.35.62,3,142:incoming; 142:incoming; 142:outgoing; 142:outgoing; 142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming,2022-10-04 19:08; 2022-10-04 19:09; 2022-10-04 19:10; 2022-10-04 19:11
10.45.0.2,157.90.35.62,3,142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming,2022-10-04 19:11; 2022-10-04 19:12; 2022-10-04 19:13; 2022-10-04 19:14
10.45.0.2,157.90.35.62,3,142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming,2022-10-04 19:14; 2022-10-04 19:15; 2022-10-04 19:16; 2022-10-04 19:17
10.45.0.2,157.90.35.62,3,142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming,2022-10-04 19:17; 2022-10-04 19:18; 2022-10-04 19:19; 2022-10-04 19:20
10.45.0.2,157.90.35.62,3,142:incoming; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming,2022-10-04 19:20; 2022-10-04 19:21; 2022-10-04 19:22; 2022-10-04 19:23
